,label,yeo
0,CIFTI_STRUCTURE_ACCUMBENS_LEFT,-1
1,CIFTI_STRUCTURE_ACCUMBENS_RIGHT,-1
2,CIFTI_STRUCTURE_AMYGDALA_LEFT,-1
3,CIFTI_STRUCTURE_AMYGDALA_RIGHT,-1
4,CIFTI_STRUCTURE_BRAIN_STEM,-1
5,CIFTI_STRUCTURE_CAUDATE_LEFT,-1
6,CIFTI_STRUCTURE_CAUDATE_RIGHT,-1
7,CIFTI_STRUCTURE_CEREBELLUM_LEFT,-1
8,CIFTI_STRUCTURE_CEREBELLUM_RIGHT,-1
9,CIFTI_STRUCTURE_DIENCEPHALON_VENTRAL_LEFT,-1
10,CIFTI_STRUCTURE_DIENCEPHALON_VENTRAL_RIGHT,-1
11,CIFTI_STRUCTURE_HIPPOCAMPUS_LEFT,-1
12,CIFTI_STRUCTURE_HIPPOCAMPUS_RIGHT,-1
13,CIFTI_STRUCTURE_PALLIDUM_LEFT,-1
14,CIFTI_STRUCTURE_PALLIDUM_RIGHT,-1
15,CIFTI_STRUCTURE_PUTAMEN_LEFT,-1
16,CIFTI_STRUCTURE_PUTAMEN_RIGHT,-1
17,CIFTI_STRUCTURE_THALAMUS_LEFT,-1
18,CIFTI_STRUCTURE_THALAMUS_RIGHT,-1
19,L_10d_ROI,7
20,L_10pp_ROI,5
21,L_10r_ROI,7
22,L_10v_ROI,5
23,L_11l_ROI,6
24,L_13l_ROI,5
25,L_1_ROI,2
26,L_23c_ROI,4
27,L_23d_ROI,7
28,L_24dd_ROI,2
29,L_24dv_ROI,2
30,L_25_ROI,5
31,L_2_ROI,2
32,L_31a_ROI,7
33,L_31pd_ROI,7
34,L_31pv_ROI,7
35,L_33pr_ROI,4
36,L_3a_ROI,2
37,L_3b_ROI,2
38,L_43_ROI,4
39,L_44_ROI,6
40,L_45_ROI,7
41,L_46_ROI,6
42,L_47l_ROI,7
43,L_47m_ROI,7
44,L_47s_ROI,7
45,L_4_ROI,2
46,L_52_ROI,2
47,L_55b_ROI,6
48,L_5L_ROI,2
49,L_5m_ROI,2
50,L_5mv_ROI,4
51,L_6a_ROI,3
52,L_6d_ROI,2
53,L_6ma_ROI,4
54,L_6mp_ROI,2
55,L_6r_ROI,4
56,L_6v_ROI,2
57,L_7AL_ROI,3
58,L_7Am_ROI,3
59,L_7PC_ROI,3
60,L_7PL_ROI,3
61,L_7Pm_ROI,6
62,L_7m_ROI,7
63,L_8Ad_ROI,7
64,L_8Av_ROI,7
65,L_8BL_ROI,7
66,L_8BM_ROI,6
67,L_8C_ROI,6
68,L_9-46d_ROI,6
69,L_9a_ROI,7
70,L_9m_ROI,7
71,L_9p_ROI,7
72,L_A1_ROI,2
73,L_A4_ROI,2
74,L_A5_ROI,2
75,L_AAIC_ROI,4
76,L_AIP_ROI,3
77,L_AVI_ROI,6
78,L_DVT_ROI,1
79,L_EC_ROI,5
80,L_FEF_ROI,3
81,L_FFC_ROI,1
82,L_FOP1_ROI,4
83,L_FOP2_ROI,2
84,L_FOP3_ROI,4
85,L_FOP4_ROI,4
86,L_FOP5_ROI,4
87,L_FST_ROI,3
88,L_H_ROI,5
89,L_IFJa_ROI,6
90,L_IFJp_ROI,3
91,L_IFSa_ROI,6
92,L_IFSp_ROI,6
93,L_IP0_ROI,3
94,L_IP1_ROI,6
95,L_IP2_ROI,6
96,L_IPS1_ROI,3
97,L_Ig_ROI,2
98,L_LBelt_ROI,2
99,L_LIPd_ROI,3
100,L_LIPv_ROI,3
101,L_LO1_ROI,1
102,L_LO2_ROI,1
103,L_LO3_ROI,1
104,L_MBelt_ROI,2
105,L_MIP_ROI,3
106,L_MI_ROI,4
107,L_MST_ROI,1
108,L_MT_ROI,1
109,L_OFC_ROI,5
110,L_OP1_ROI,2
111,L_OP2-3_ROI,2
112,L_OP4_ROI,2
113,L_PBelt_ROI,2
114,L_PCV_ROI,7
115,L_PEF_ROI,3
116,L_PF_ROI,4
117,L_PFcm_ROI,4
118,L_PFm_ROI,6
119,L_PFop_ROI,4
120,L_PFt_ROI,3
121,L_PGi_ROI,7
122,L_PGp_ROI,3
123,L_PGs_ROI,7
124,L_PHA1_ROI,1
125,L_PHA2_ROI,1
126,L_PHA3_ROI,1
127,L_PHT_ROI,3
128,L_PH_ROI,3
129,L_PIT_ROI,1
130,L_PI_ROI,4
131,L_POS1_ROI,7
132,L_POS2_ROI,6
133,L_PSL_ROI,4
134,L_PeEc_ROI,5
135,L_Pir_ROI,5
136,L_PoI1_ROI,4
137,L_PoI2_ROI,4
138,L_PreS_ROI,1
139,L_ProS_ROI,1
140,L_RI_ROI,2
141,L_RSC_ROI,7
142,L_SCEF_ROI,4
143,L_SFL_ROI,7
144,L_STGa_ROI,7
145,L_STSda_ROI,7
146,L_STSdp_ROI,7
147,L_STSva_ROI,7
148,L_STSvp_ROI,7
149,L_STV_ROI,4
150,L_TA2_ROI,2
151,L_TE1a_ROI,7
152,L_TE1m_ROI,7
153,L_TE1p_ROI,6
154,L_TE2a_ROI,5
155,L_TE2p_ROI,3
156,L_TF_ROI,5
157,L_TGd_ROI,5
158,L_TGv_ROI,5
159,L_TPOJ1_ROI,2
160,L_TPOJ2_ROI,3
161,L_TPOJ3_ROI,3
162,L_V1_ROI,1
163,L_V2_ROI,1
164,L_V3A_ROI,1
165,L_V3B_ROI,1
166,L_V3CD_ROI,1
167,L_V3_ROI,1
168,L_V4_ROI,1
169,L_V4t_ROI,1
170,L_V6A_ROI,1
171,L_V6_ROI,1
172,L_V7_ROI,1
173,L_V8_ROI,1
174,L_VIP_ROI,3
175,L_VMV1_ROI,1
176,L_VMV2_ROI,1
177,L_VMV3_ROI,1
178,L_VVC_ROI,1
179,L_a10p_ROI,6
180,L_a24_ROI,7
181,L_a24pr_ROI,4
182,L_a32pr_ROI,6
183,L_a47r_ROI,6
184,L_a9-46v_ROI,6
185,L_d23ab_ROI,7
186,L_d32_ROI,7
187,L_i6-8_ROI,6
188,L_p10p_ROI,7
189,L_p24_ROI,7
190,L_p24pr_ROI,4
191,L_p32_ROI,7
192,L_p32pr_ROI,4
193,L_p47r_ROI,6
194,L_p9-46v_ROI,6
195,L_pOFC_ROI,5
196,L_s32_ROI,7
197,L_s6-8_ROI,7
198,L_v23ab_ROI,7
199,R_10d_ROI,7
200,R_10pp_ROI,5
201,R_10r_ROI,7
202,R_10v_ROI,5
203,R_11l_ROI,6
204,R_13l_ROI,5
205,R_1_ROI,2
206,R_23c_ROI,4
207,R_23d_ROI,7
208,R_24dd_ROI,2
209,R_24dv_ROI,2
210,R_25_ROI,5
211,R_2_ROI,2
212,R_31a_ROI,7
213,R_31pd_ROI,7
214,R_31pv_ROI,7
215,R_33pr_ROI,4
216,R_3a_ROI,2
217,R_3b_ROI,2
218,R_43_ROI,4
219,R_44_ROI,6
220,R_45_ROI,7
221,R_46_ROI,6
222,R_47l_ROI,7
223,R_47m_ROI,7
224,R_47s_ROI,7
225,R_4_ROI,2
226,R_52_ROI,2
227,R_55b_ROI,6
228,R_5L_ROI,2
229,R_5m_ROI,2
230,R_5mv_ROI,4
231,R_6a_ROI,3
232,R_6d_ROI,2
233,R_6ma_ROI,4
234,R_6mp_ROI,2
235,R_6r_ROI,4
236,R_6v_ROI,2
237,R_7AL_ROI,3
238,R_7Am_ROI,3
239,R_7PC_ROI,3
240,R_7PL_ROI,3
241,R_7Pm_ROI,6
242,R_7m_ROI,7
243,R_8Ad_ROI,7
244,R_8Av_ROI,7
245,R_8BL_ROI,7
246,R_8BM_ROI,6
247,R_8C_ROI,6
248,R_9-46d_ROI,6
249,R_9a_ROI,7
250,R_9m_ROI,7
251,R_9p_ROI,7
252,R_A1_ROI,2
253,R_A4_ROI,2
254,R_A5_ROI,2
255,R_AAIC_ROI,4
256,R_AIP_ROI,3
257,R_AVI_ROI,6
258,R_DVT_ROI,1
259,R_EC_ROI,5
260,R_FEF_ROI,3
261,R_FFC_ROI,1
262,R_FOP1_ROI,4
263,R_FOP2_ROI,2
264,R_FOP3_ROI,4
265,R_FOP4_ROI,4
266,R_FOP5_ROI,4
267,R_FST_ROI,3
268,R_H_ROI,5
269,R_IFJa_ROI,6
270,R_IFJp_ROI,3
271,R_IFSa_ROI,6
272,R_IFSp_ROI,6
273,R_IP0_ROI,3
274,R_IP1_ROI,6
275,R_IP2_ROI,6
276,R_IPS1_ROI,3
277,R_Ig_ROI,2
278,R_LBelt_ROI,2
279,R_LIPd_ROI,3
280,R_LIPv_ROI,3
281,R_LO1_ROI,1
282,R_LO2_ROI,1
283,R_LO3_ROI,1
284,R_MBelt_ROI,2
285,R_MIP_ROI,3
286,R_MI_ROI,4
287,R_MST_ROI,1
288,R_MT_ROI,1
289,R_OFC_ROI,5
290,R_OP1_ROI,2
291,R_OP2-3_ROI,2
292,R_OP4_ROI,2
293,R_PBelt_ROI,2
294,R_PCV_ROI,7
295,R_PEF_ROI,3
296,R_PF_ROI,4
297,R_PFcm_ROI,4
298,R_PFm_ROI,6
299,R_PFop_ROI,4
300,R_PFt_ROI,3
301,R_PGi_ROI,7
302,R_PGp_ROI,3
303,R_PGs_ROI,7
304,R_PHA1_ROI,1
305,R_PHA2_ROI,1
306,R_PHA3_ROI,1
307,R_PHT_ROI,3
308,R_PH_ROI,3
309,R_PIT_ROI,1
310,R_PI_ROI,4
311,R_POS1_ROI,7
312,R_POS2_ROI,6
313,R_PSL_ROI,4
314,R_PeEc_ROI,5
315,R_Pir_ROI,5
316,R_PoI1_ROI,4
317,R_PoI2_ROI,4
318,R_PreS_ROI,1
319,R_ProS_ROI,1
320,R_RI_ROI,2
321,R_RSC_ROI,7
322,R_SCEF_ROI,4
323,R_SFL_ROI,7
324,R_STGa_ROI,7
325,R_STSda_ROI,7
326,R_STSdp_ROI,7
327,R_STSva_ROI,7
328,R_STSvp_ROI,7
329,R_STV_ROI,4
330,R_TA2_ROI,2
331,R_TE1a_ROI,7
332,R_TE1m_ROI,7
333,R_TE1p_ROI,6
334,R_TE2a_ROI,5
335,R_TE2p_ROI,3
336,R_TF_ROI,5
337,R_TGd_ROI,5
338,R_TGv_ROI,5
339,R_TPOJ1_ROI,2
340,R_TPOJ2_ROI,3
341,R_TPOJ3_ROI,3
342,R_V1_ROI,1
343,R_V2_ROI,1
344,R_V3A_ROI,1
345,R_V3B_ROI,1
346,R_V3CD_ROI,1
347,R_V3_ROI,1
348,R_V4_ROI,1
349,R_V4t_ROI,1
350,R_V6A_ROI,1
351,R_V6_ROI,1
352,R_V7_ROI,1
353,R_V8_ROI,1
354,R_VIP_ROI,3
